player,team,primary_position,matches_played,passes_per_match,progression_rate_pct,final_third_per_match,box_passes_per_match,key_passes_per_match,match_name,attempted_passes,completion_pct,prog_per_match
Saša Lukić,Serbia,Right Defensive Midfield,3,47.7,8.39,5.33,0.33,0.0,lukic,162,88.3,4.0
Granit Xhaka,Switzerland,Left Defensive Midfield,4,52.8,17.06,6.25,1.25,0.5,xhaka,240,87.9,9.0
Enzo Fernandez,Argentina,Center Defensive Midfield,7,59.4,10.1,6.29,1.43,0.71,fernandez,470,88.5,6.0
Rodrigo Javier De Paul,Argentina,Right Center Midfield,7,67.9,9.47,5.43,1.0,1.0,paul,563,84.4,6.43
Alexis Mac Allister,Argentina,Left Center Midfield,6,40.3,6.61,2.17,1.0,1.17,allister,271,89.3,2.67
Aaron Mooy,Australia,Left Defensive Midfield,4,42.8,17.54,5.0,0.75,0.25,mooy,219,78.1,7.5
Christian Dannemann Eriksen,Denmark,Left Center Midfield,3,64.3,13.47,6.0,4.33,3.0,eriksen,231,83.5,8.67
Pierre-Emile Højbjerg,Denmark,Right Defensive Midfield,3,66.7,18.5,7.33,0.67,0.33,højbjerg,224,89.3,12.33
Neymar da Silva Santos Junior,Brazil,Center Attacking Midfield,3,41.0,16.26,5.33,3.67,1.33,junior,156,78.8,6.67
Carlos Henrique Casimiro,Brazil,Left Defensive Midfield,4,54.2,15.21,5.75,1.25,1.0,casimiro,258,84.1,8.25
Lucas Tolentino Coelho de Lima,Brazil,Right Defensive Midfield,4,43.0,13.95,3.75,1.75,1.25,lima,202,85.1,6.0
Moisés Isaac Caicedo Corozo,Ecuador,Left Defensive Midfield,3,42.7,8.59,2.33,0.33,0.0,corozo,154,83.1,3.67
Nampalys Mendy,Senegal,Left Defensive Midfield,4,36.2,14.48,2.25,0.5,0.25,mendy,162,89.5,5.25
Frenkie de Jong,Netherlands,Left Defensive Midfield,5,65.4,10.09,6.2,0.4,0.6,jong,364,89.8,6.6
Leandro Daniel Paredes,Argentina,Left Defensive Midfield,5,45.4,15.42,4.0,0.2,0.4,paredes,240,94.6,7.0
Ángel Fabián Di María Hernández,Argentina,Right Midfield,5,25.2,9.52,0.4,3.2,2.0,hernandez,164,76.8,2.4
Woo-Young Jung,South Korea,Right Defensive Midfield,4,44.8,17.88,6.75,0.5,0.5,jung,208,86.1,8.0
Rodrigo Bentancur Colmán,Uruguay,Left Defensive Midfield,3,44.7,16.42,3.33,0.33,0.67,colman,158,84.8,7.33
In-Beom Hwang,South Korea,Left Defensive Midfield,4,49.8,16.58,6.75,0.75,0.75,hwang,247,80.6,8.25
Federico Santiago Valverde Dipetta,Uruguay,Right Defensive Midfield,3,50.7,21.71,8.33,2.0,1.33,dipetta,186,81.7,11.0
Rúben Diogo Da Silva Neves,Portugal,Center Defensive Midfield,5,47.6,13.87,4.8,0.4,0.6,neves,259,91.9,6.6
Vitor Machado Ferreira,Portugal,Left Center Midfield,3,34.0,10.78,6.67,1.33,0.33,ferreira,295,85.4,9.5
Sofyan Amrabat,Morocco,Center Defensive Midfield,7,39.1,14.23,2.57,0.14,0.29,amrabat,323,84.8,5.57
Bernardo Mota Veiga de Carvalho e Silva,Portugal,Right Center Midfield,5,51.8,8.49,4.6,0.6,1.0,silva,292,88.7,4.4
Azzedine Ounahi,Morocco,Right Center Midfield,7,31.6,11.31,2.86,1.0,0.86,ounahi,267,82.8,3.57
Antoine Griezmann,France,Center Attacking Midfield,7,36.4,14.9,3.57,3.43,2.43,griezmann,323,78.9,5.43
Adrien Rabiot,France,Left Defensive Midfield,6,41.0,8.54,4.33,0.5,0.17,rabiot,285,86.3,3.5
Aurélien Djani Tchouaméni,France,Right Defensive Midfield,7,61.6,11.6,6.14,0.71,0.86,tchouameni,470,91.7,7.14
Piotr Zieliński,Poland,Right Center Midfield,4,31.0,16.13,3.75,2.0,1.75,zieliński,153,81.0,5.0
William Silva de Carvalho,Portugal,Left Center Midfield,4,38.2,11.76,2.75,0.0,0.0,carvalho,165,92.7,4.5
Declan Rice,England,Left Defensive Midfield,5,61.2,11.76,4.6,0.4,0.2,rice,327,93.6,7.2
Jude Bellingham,England,Right Defensive Midfield,5,48.4,11.57,4.4,1.6,0.6,bellingham,275,88.0,5.6
Jordan Brian Henderson,England,Right Center Midfield,4,35.2,7.09,1.75,1.5,1.0,henderson,166,84.9,2.5
Mateo Kovačić,Croatia,Left Center Midfield,7,59.4,8.41,6.86,1.29,1.29,kovačic,456,91.2,5.0
Luka Modrić,Croatia,Right Center Midfield,7,66.1,16.2,8.71,2.43,0.86,modric,549,84.3,10.71
Marcelo Brozović,Croatia,Center Defensive Midfield,6,78.7,9.11,6.5,0.33,0.83,brozovic,529,89.2,7.17
Pablo Martín Páez Gavira,Spain,Right Center Midfield,4,33.8,2.96,1.25,1.25,0.5,gavira,153,88.2,1.0
Pedro González López,Spain,Left Center Midfield,4,98.8,12.15,15.75,2.0,1.25,lopez,426,92.7,12.0
Sergio Busquets i Burgos,Spain,Center Defensive Midfield,4,66.2,9.43,6.0,0.5,0.75,burgos,290,91.4,6.25
Wataru Endo,Japan,Right Defensive Midfield,3,51.0,10.46,5.0,1.0,1.33,endo,187,81.8,4.0
Hidemasa Morita,Japan,Left Defensive Midfield,3,42.7,14.06,3.67,0.67,1.0,morita,161,79.5,6.0
Tyler Adams,United States,Center Defensive Midfield,4,61.5,13.01,6.5,0.5,0.5,adams,269,91.4,8.0
Yunus Dimoara Musah,United States,Left Center Midfield,4,38.5,11.69,3.0,1.5,0.75,musah,182,84.6,4.5
Joshua Kimmich,Germany,Right Defensive Midfield,3,76.3,16.59,9.0,4.0,2.67,kimmich,271,84.5,12.67
İlkay Gündoğan,Germany,Left Defensive Midfield,3,49.3,12.84,5.67,1.67,0.33,gündoğan,163,90.8,6.33
Axel Witsel,Belgium,Left Defensive Midfield,3,56.3,5.92,3.0,0.0,0.33,witsel,176,96.0,3.33
Thomas Teye Partey,Ghana,Right Defensive Midfield,3,51.0,16.34,7.0,0.67,0.67,partey,181,84.5,8.33
